order_id,customer_id,product_name,category,quantity,unit_price,order_date,shipping_city,shipping_country,payment_method,status
ORD-001,C-101,Laptop Pro 15,Electronics,1,1299.99,2024-01-15,New York,US,Credit Card,completed
ORD-002,C-102,Wireless Mouse,Electronics,2,29.99,2024-01-15,London,UK,PayPal,completed
ORD-003,C-103,Office Chair,Furniture,1,449.00,2024-01-16,Berlin,DE,Credit Card,completed
ORD-004,C-101,USB-C Hub,Electronics,1,59.99,2024-01-16,New York,US,Credit Card,completed
ORD-005,C-104,Standing Desk,Furniture,1,699.00,2024-01-17,Paris,FR,Bank Transfer,shipped
ORD-006,C-105,Mechanical Keyboard,Electronics,1,149.99,2024-01-17,Tokyo,JP,Credit Card,completed
ORD-007,C-102,Monitor 27",Electronics,1,399.99,2024-01-18,London,UK,PayPal,completed
ORD-008,C-106,Desk Lamp LED,Furniture,3,34.99,2024-01-18,Sydney,AU,Credit Card,completed
ORD-009,C-107,Webcam HD,Electronics,1,79.99,2024-01-19,Toronto,CA,Credit Card,returned
ORD-010,C-108,Noise-Cancel Headphones,Electronics,1,299.99,2024-01-19,New York,US,PayPal,completed
ORD-011,C-103,Bookshelf Oak,Furniture,2,189.99,2024-01-20,Berlin,DE,Bank Transfer,completed
ORD-012,C-109,Tablet 10",Electronics,1,499.99,2024-01-20,Madrid,ES,Credit Card,completed
ORD-013,C-110,Ergonomic Mouse Pad,Furniture,5,19.99,2024-01-21,London,UK,PayPal,shipped
ORD-014,C-104,SSD 1TB,Electronics,2,89.99,2024-01-21,Paris,FR,Credit Card,completed
ORD-015,C-111,Printer Laser,Electronics,1,349.99,2024-01-22,Tokyo,JP,Bank Transfer,completed
ORD-016,C-101,Laptop Stand,Furniture,1,69.99,2024-01-22,New York,US,Credit Card,completed
ORD-017,C-112,Smartphone Case,Electronics,3,24.99,2024-01-23,Sydney,AU,PayPal,completed
ORD-018,C-113,Filing Cabinet,Furniture,1,259.99,2024-01-23,Toronto,CA,Credit Card,cancelled
ORD-019,C-105,Portable SSD 500GB,Electronics,1,69.99,2024-01-24,Tokyo,JP,Credit Card,completed
ORD-020,C-114,Conference Speaker,Electronics,1,199.99,2024-01-24,Berlin,DE,Bank Transfer,completed
ORD-021,C-106,Desk Organizer,Furniture,2,29.99,2024-01-25,Sydney,AU,Credit Card,completed
ORD-022,C-115,Graphics Tablet,Electronics,1,249.99,2024-01-25,Madrid,ES,PayPal,shipped
ORD-023,C-108,Wireless Charger,Electronics,2,39.99,2024-01-26,New York,US,Credit Card,completed
ORD-024,C-116,Office Whiteboard,Furniture,1,149.99,2024-01-26,London,UK,Bank Transfer,completed
ORD-025,C-109,RAM 16GB Kit,Electronics,1,79.99,2024-01-27,Toronto,CA,Credit Card,completed
ORD-026,C-117,Smart Speaker,Electronics,1,99.99,2024-01-27,Paris,FR,PayPal,completed
ORD-027,C-110,Cable Management Kit,Furniture,4,14.99,2024-01-28,London,UK,Credit Card,completed
ORD-028,C-118,Drawing Tablet Pro,Electronics,1,599.99,2024-01-28,Tokyo,JP,Credit Card,completed
ORD-029,C-103,Adjustable Monitor Arm,Furniture,1,119.99,2024-01-29,Berlin,DE,Bank Transfer,completed
ORD-030,C-119,External HDD 2TB,Electronics,1,69.99,2024-01-29,Madrid,ES,Credit Card,completed
